Supramarginal Gyrus	40
Superior Frontal Gyrus	10
Middle Frontal Gyrus	8,9,10
Cingulate Gyrus	32
Middle Occipital Gyrus	18
Superior temporal gyrus	22
Insula	13
Precentral Gyrus	6
Cingulate Gyrus	23
Inferior Parietal Lobule	40
Cingulate Gyrus	24
Middle Temporal Gyrus	39
Medial Frontal Gyrus	9,10
Middle Temporal Gyrus	39
Medial Frontal Gyrus	9,10
Superior temporal gyrus	22,41
Insula	13
Middle Frontal Gyrus	6,9,10,46
Superior Frontal Gyrus	9,10
Middle Occipital Gyrus	18
Cuneus	17
Inferior frontal gyrus	9
Precuneus	7,31
Anterior cingulate	24
Anterior cingulate	32